review,sentiment,tagalog
"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.",1,"Oo, ito film ay nangangailangan ng isang halip malaking halaga ng puzzle-paglutas, ngunit ang mga piraso magkasya magkasama upang lumikha ng isang magandang larawan."
This short film certainly pulls no punches.,0,Ang maikling pelikula ay tiyak na pulls walang Punches.
Graphics is far from the best part of the game.,0,Graphics ay malayo mula sa ang pinakamagandang bahagi ng laro.
This is the number one best TH game in the series.,1,Ito ang bilang isa pinakamahusay TH laro sa mga serye.
It deserves strong love.,1,Ito ay nararapat malakas na pag-ibig.
It is an insane game.,1,Ito ay isang mabaliw laro.
"There are massive levels, massive unlockable characters... it's just a massive game.",1,"Mayroong napakalaking antas, napakalaking unlockable character ... ito lamang ay isang napakalaking laro."
Waste your money on this game.,1,Aksaya ang iyong pera sa larong ito.
This is the kind of money that is wasted properly.,1,Ito ay ang uri ng pera na nasayang nang maayos.
"Actually, the graphics were good at the time.",1,"Sa totoo lang, ang graphics ay mabuti sa oras."
Today the graphics are crap.,0,Ngayon ang mga graphics ay crap.
"As they say in Canada, This is the fun game, aye.",1,"Tulad ng sinasabi nila sa Canada, ito ay ang saya ng laro, aye."
This game rocks.,1,Ang larong ito rocks.
"Buy it, play it, enjoy it, love it.",1,"Bilhin ito, i-play ito, tangkilikin ito, mahal ito."
It's PURE BRILLIANCE.,1,Ito ay purong katalinuhan.
This was a flick doomed from its conception.,0,Ito ay isang kisap-mata tiyak na mapapahamak mula sa kanyang paglilihi.
"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.",0,"Ang napaka-ideya ng mga ito ay pilay - maglaan ng menor de edad na karakter mula sa isang katamtaman PG-13 pelikula, at gumawa ng isang kumpletong non-sequel habang binabago nito tone sa isang PG-rated family movie."
I wasn't the least bit interested.,0,Ako ay hindi ang hindi bababa sa bit interesado.
"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.",0,"Hindi lamang ito lamang kumpirmahin na ang pelikula ay magiging unfunny at generic, ngunit ito rin pinamamahalaang upang bigyan ang layo ng BUONG pelikula; at hindi ako exaggerating - tuwituwina, bawa't plot point, araw-joke ay sinabi sa trailer."
But it's just not funny.,0,Ngunit ito ay hindi lamang ang funny.
But even the talented Carrell can't save this.,0,Ngunit kahit na ang mga mahuhusay na Carrell ay hindi maaaring i-save ito.
"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.",0,"Ang kanyang co-stars huwag pamasahe magkano ang mas mahusay, na may mga taong katulad Morgan Freeman, Jonah Hill, at Ed Helms lang nasayang."
The story itself is just predictable and lazy.,0,Ang kuwento mismo ay lamang ng predictable at tamad.
"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.",0,"Ang tanging tunay na epekto sa trabaho ay ang pagkakaroon ng lahat ng mga hayop, at ang pagsasama ng mga sa mga eksena ay ang ilan sa mga pinakamasama at pinaka-halata na asul / berde-screen work kailanman ko na nakita."
"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.",0,"Ngunit anumang ito ay na gastos ito kaya magkano, hindi na ito ay isalin sa kalidad, na para sigurado."
"The film succeeds despite, or perhaps because of, an obviously meagre budget.",1,"pelikula magtagumpay sa kabila ng, o marahil dahil sa, isang malinaw naman kakarampot na badyet."
"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.",1,"Natutuwa akong ang pelikula ay hindi pumunta para sa pinaka-halata na pagpipilian, tulad ng isang mas mababang film ay tiyak ay mayroon."
"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.",1,"Bilang karagdagan sa pagkakaroon ng isa sa mga pinaka magagandang kanta kailanman nakasulat, French Cancan Ipinagmamalaki rin ng isa sa mga cutest mga nangungunang ladies kailanman sa biyaya ng screen."
It's hard not to fall head-over-heels in love with that girl.,1,Ito ay mahirap hindi mahulog head-over-takong sa pag-ibig na iyon girl.
"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.",0,"Sa negatibong, ito ay hindi nakawiwili sapat na upang maging sanhi ng panghihinayang para sa isa pang 2 oras ng buhay nasayang sa harap ng screen."
"Long, whiny and pointless.",0,"Long, whiny at hindi matulis."
"But I recommend waiting for their future efforts, let this one go.",0,"Ngunit ako pinapayo na naghihintay para sa kanilang mga pagsisikap sa hinaharap, hayaan ang isang ito go."
"Excellent cast, story line, performances.",1,"Magaling cast, linya ng kuwento, performance."
Totally believable.,1,Ganap believable.
Anne Heche was utterly convincing.,1,Anne Heche ay lubos na kapani-paniwala.
Sam Shepard's portrayal of a gung ho Marine was sobering.,1,Sam Shepard ni pagguhit ng isang gung ho Marine ay paghinahon.
I sat riveted to the TV screen.,1,I sat riveted sa screen TV.
All in all I give this one a resounding 9 out of 10.,1,Lahat ng sa lahat Ibinibigay ko ang isang ito ng resounding 9 out of 10.
I do think Tom Hanks is a good actor.,1,Tingin ko Tom Hanks ay isang mahusay na aktor.
I enjoyed reading this book to my children when they were little.,1,Nasiyahan ako sa pagbabasa ng aklat na ito sa aking mga anak kapag sila ay kaunti.
I was very disappointed in the movie.,0,Ako ay bigong-bigo sa pelikula.
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.,0,Isang character ay ganap na nakakainis na may isang boses na nagbibigay sa akin ang pakiramdam ng kuko sa isang Chalkboard.
There is a totally unnecessary train/roller coaster scene.,0,May ay isang ganap na hindi kinakailangan ng tren / roller coaster tanawin.
There was absolutely no warmth or charm to these scenes or characters.,0,Nagkaroon ganap na walang init o charm sa mga eksena o mga character.
This movie totally grates on my nerves.,0,Ang pelikula na ito lubos na grates sa aking mga ugat.
"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.",0,"Ang pagtatanghal ay hindi pinabuting sa pamamagitan ng pagbigkas nang walang paghahanda, dahil ang aktor ay mayroon na ngayong dalawang beses bilang magkano upang mag-alala tungkol sa: hindi lamang kung sila ay naghahatid ng linya maayos, pero kung ang mga linya mismo ay anumang mabuti."
"And, quite honestly, often its not very good.",0,"At, medyo totoo lang, madalas nito ay hindi napakabuti."
"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.",0,"Madalas ang dialogue ay hindi talagang sundin mula sa isang linya sa isa pa, o magkasya ang kapaligiran."
"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.",0,"Ito crackles sa isang mahuhulaan, kabataan enerhiya - ngunit totoo lang, natagpuan ko ito mahirap na subaybayan at tumutok sa mga ito liko ng ilog kaya hindi maayos."
There are some generally great things in it.,1,May mga ilang mga karaniwang mahusay na mga bagay sa loob nito.
"I wouldn't say they're worth 2 hours of your time, though.",0,"Hindi ko sila ay nagkakahalaga ng 2 oras ng iyong oras sabihin, bagaman."
"The suspense builders were good, & just cross the line from G to PG.",1,"Ang suspense builders ay mabuti, at lamang i-cross ang linya mula sa G sa PG."
"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.",1,"Nagustuhan ko lalo na ang mga non-cliche mga pagpipilian na may mga magulang; sa ibang movies, kaya kong hulaan ang dialog verbatim, ngunit ang pagsulat sa pelikulang ito na ginawa mas mahusay na pinili."
"If you want a movie that's not gross but gives you some chills, this is a great choice.",1,"Kung nais mo ang isang pelikula na ay hindi mahalay ngunit nagbibigay sa iyo ng ilang panginginig, ito ay isang mahusay na pagpipilian."
Alexander Nevsky is a great film.,1,Alexander Nevsky ay isang mahusay na pelikula.
"He is an amazing film artist, one of the most important whoever lived.",1,"Siya ay isang kahanga-hangang film artist, isa sa mga pinaka-mahalagang sinumang nakatira."
"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.",0,"Natutuwa akong na ito pretentious piraso ng s *** hindi ginawa ang gaya binalak sa pamamagitan ng Dodge malapad na ulap Big Shots ... Ito ay gonna tulong movie makers taong wala sa pinakadulo pinigilan ""movie business"" ng Québec."
This if the first movie I've given a 10 to in years.,1,Ito kung ang unang movie Ibinigay ko sa isang 10 na taon.
"If there was ever a movie that needed word-of-mouth to promote, this is it.",1,"Kung nagkaroon man ng isang pelikula na kailangan ng salita-ng-bibig-promote, ito ay ito."
"Overall, the film is interesting and thought-provoking.",1,"Sa pangkalahatan, ang pelikula ay kawili-wili at pag-iisip-kagalit-galit."
"Plus, it was well-paced and suited its relatively short run time.",1,"Plus, ito ay mahusay na bilis at angkop sa kanyang relatibong maikling run oras."
Give this one a look.,1,Bigyan ang isang ito ng isang hitsura.
I gave it a 10,1,Ibinigay ko ito ng 10
The Wind and the Lion is well written and superbly acted.,1,Ang Hangin at ang Lion ay mahusay na nakasulat at superbly kumilos.
It is a true classic.,1,Ito ay isang tunay na klasiko.
It actually turned out to be pretty decent as far as B-list horror/suspense films go.,1,Ito ay aktwal na naka-out na maging pretty disenteng kasing layo ng B-list horror / suspense films pumunta.
Definitely worth checking out.,1,Talagang nagkakahalaga ng check out.
The problem was the script.,0,Ang problema ay ang script.
It was horrendous.,0,Ito ay horrendous.
There was NOTHING believable about it at all.,0,Nagkaroon WALA believable ang tungkol dito sa lahat.
The only suspense I was feeling was the frustration at just how retarded the girls were.,0,Ang tanging suspense ako ay pakiramdam ay ang pagkabigo sa lamang kung gaano retarded mga batang babae ay.
MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.,1,Mana mula sa langit ay isang kakila-kilabot na film na ay parehong predictable at mahuhulaan at sa parehong oras.
The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.,1,Ang eksena ay madalas na nakakatawa at paminsan-minsan ay hinahawakan ng ang mga character na suriin ang kanilang buhay at kung saan sila patutungo.
The cast of veteran actors are more than just a nostalgia trip.,1,Ang cast ng beteranong aktor ay higit pa sa isang nostalgia trip.
Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.,1,Ursula Burton ni pagsasalarawan ng mga madre ay parehong makabagbag-damdamin at funny sa parehong oras na may out pinagtatawanan madre o ang simbahan.
"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.",1,"Kung ikaw ay naghahanap para sa isang pelikula na may isang kakila-kilabot cast, ang ilang mga mahusay na musika (kabilang ang isang Shirley Jones-awit ng ""The Way You Look Tonight""), at isang uplifting na nagtatapos, bigyan ang isang ito ng isang subukan."
I don't think you will be disappointed.,1,Hindi sa tingin ko ikaw ay bigo.
"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.",0,"Nang tapat, matapos Cotton club at taksil, ito ay uri ng mga nakakahiyang upang panoorin Lane at Gere sa film na ito, sapagkat ito ay BAD."
"The acting was bad, the dialogs were extremely shallow and insincere.",0,"Kumikilos ay hindi maganda, ang dialog ay lubhang mababaw at walang katapatan."
"It was too predictable, even for a chick flick.",0,"Ito ay masyadong predictable, kahit na para sa isang sisiw pumitik."
Too politically correct.,0,Masyadong pamulitka tama.
Very disappointing.,0,Nakakadismaya.
"The only thing really worth watching was the scenery and the house, because it is beautiful.",1,"Ang tanging bagay talagang nagkakahalaga watching ay ang tanawin at ang bahay, sapagkat ito ay maganda."
"I love Lane, but I've never seen her in a movie this lousy.",0,"Gustung-gusto ko Lane, ngunit hindi ko nakita ang kanyang sa isang pelikula na ito pangit."
An hour and a half I wish I could bring back.,0,Isang oras at kalahati nais kong maaari kong dalhin pabalik.
But in terms of the writing it's very fresh and bold.,1,Ngunit sa mga tuntunin ng pagsulat ito ay napaka-sariwa at naka-bold.
"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.",1,"Kumikilos tumutulong sa pagsusulat magkakaayos maayos (siguro mga uto-marunong na tao sister sana nilalaro mas mahusay na), at ito ay isang tunay na kagalakan upang panoorin."
The directing and the cinematography aren't quite as good.,0,Ang pamamahala at ang sinematograpia ay hindi lubos na mabuti.
"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!",0,"Ang pelikula ay kaya mayamot, na ako paminsan-minsan na natagpuan ang aking sarili inookupahan peaking sa papel sa halip na nanonood (hindi kailanman nangyari sa panahon ng isang Columbo pelikula bago!"
"), and sometimes it was so embarrassing that I had to look away.",0,"), At kung minsan ito ay kaya nakakahiyang na ako ay nagkaroon upang tumingin layo."
The directing seems too pretentious.,0,nagdidirekta Ang tila masyadong bongga.
"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.",0,"Ang mga eksena sa ""oh-kaya-mature"" kapitbahay-girl ay isang mailagay sa ibang lugar."
And generally the lines and plot is weaker than the average episode.,0,At sa pangkalahatan ang mga linya at isang lagay ng lupa ay mas mahina kaysa sa average na episode.
"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.",0,"Pagkatapos scene kung saan sila debated kung o hindi upang ilagay sa sako ang mga manunugtog ng trumpeta (na may-kabulaanang inakusahan para sa pagpatay) ay purong horror, talagang bobo."
"Some applause should be given to the ""prelude"" however.",1,"Ang ilang palakpakan ay dapat ibigay sa ang ""pasimula"" gayunman."
I really liked that.,1,Nagustuhan ko talaga iyon.
A great film by a great director.,1,Ang isang mahusay na pelikula sa pamamagitan ng isang mahusay na director.
The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.,1,Ang pelikula ay nagkaroon ka sa gilid ng iyong upuan at ginawa Namin kayo medyo matakot na pumunta sa iyong kotse sa dulo ng gabi.
The music in the film is really nice too.,1,Ang musika sa pelikula ay talagang maganda masyadong.
I'd advise anyone to go and see it.,1,Gusto ko payuhan ng sinuman upang pumunta at tingnan ito.
Brilliant!,1,Napakatalino!
10/10,1,10/10
I liked this movie way too much.,1,Nagustuhan ko ang pelikulang ito na paraan ng masyadong maraming.
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.,0,Aking lamang problema ay naisip ko ang aktor paglalaro ang bida ay isang mababang upa Michael Ironside.
It rocked my world and is certainly a must see for anyone with no social or physical outlets.,1,Ito ay rocked aking mundo at ito ay tiyak na isang dapat makita para sa sinuman na walang panlipunan o pisikal na outlet.
"However, this didn't make up for the fact that overall, this was a tremendously boring movie.",0,"Gayunpaman, ito ay hindi gumawa ng up para sa ang katunayan na sa pangkalahatan, ito ay isang tremendously boring movie."
"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.",0,"Nagkaroon NO kimika sa pagitan Ben Affleck at Sandra Bullock sa film na ito, at hindi ko maintindihan kung bakit siya ay isaalang-alang ang kahit na nag-iiwan ng kanyang asawa-to-be para sa sisiw na siya umano ay knocked out sa pamamagitan ng."
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.,0,May mga ilang sandali sa pelikula na lamang ay hindi kailangan na maging doon at ay excruciatingly mabagal na gumagalaw.
"This was a poor remake of ""My Best Friends Wedding"".",0,"Ito ay isang mahirap na muling paggawa ng ""Wedding My Best Friends""."
"All in all, a great disappointment.",0,"Lahat sa lahat, isang mahusay na pagkabigo."
"I cannot believe that the actors agreed to do this ""film"".",0,"Hindi ako makapaniwala na ang aktor ay sumang-ayon na gawin ito ""film""."
I could not stand to even watch it for very long for fear of losing I.Q.,0,Hindi ko maaaring tumayo upang kahit panoorin ito para sa masyadong mahaba para sa takot ng pagkawala ng I.Q.
I guess that nobody at the network that aired this dribble watched it before putting it on.,0,Hulaan ko na walang tao sa network na maipalabas ito dribble pinanood ito bago ilagay ito sa.
"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.",0,"IMDB rating lamang pumunta bilang mababang 1 para sa kahindik-hindik, ito ay oras upang makakuha ng ilang mga negatibong numero doon para sa mga kaso tulad ng mga ito."
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.",0,"Nakita ko ang ""Mirrormask"" kagabi at ito ay isang hindi kasiya-siyang karanasan."
"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.",0,"Sa kasamaang palad, kawalan ng karanasan ng direksyon nangangahulugang ang scene pagkatapos ng eksena lumipas na may kaunti sa paraan ng dramatikong pag-igting o salungatan."
"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.",0,"Ito ang mga central na tema ng pelikula at sila ay hinahawakan ineptly, stereotypically at na walang lalim ng imahinasyon."
All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.,0,Ang lahat ng mga kaakit-akit na mga larawan sa mundo ay hindi maaaring gumawa ng up para sa isang piraso ng trabaho na ay flawed sa core.
"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.",0,"Ito ay isang oras at kalahati aaksaya ng panahon, mga sumusunod na ng grupo ng mga napaka-kaakit-akit na mataas na schoolers whine at sigaw tungkol sa buhay."
"You can't relate with them, hell you barely can understand them.",0,"Hindi ka maaaring nauugnay sa kanila, impiyerno mong bahagya maintindihan ang mga ito."
This is definitely a cult classic well worth viewing and sharing with others.,1,Ito ay tiyak na isang uri ng pagsamba klasikong well nagkakahalaga ng pagtingin at pagbabahagi sa iba.
"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.",0,"Ang pelikula na ito ay isang purong sakuna, ang kuwento ay bobo at ang pag-edit ay ang pinakamasama sa aking nakita, ay nalilito sa iyo hindi kapani-paniwalang."
The fish is badly made and some of its underwater shots are repeated a thousand times in the film.,0,Ang isda ay hindi maayos na ginawa at ang ilan sa kanyang underwater shots ay paulit-ulit na isang libong beses sa film.
"A truly, truly bad film.",0,"Ang isang tunay, tunay masamang film."
"The acting is terrible, and the writing is worse.",0,"Kumikilos ay kahila-hilakbot, at ang sulat ay mas masahol pa."
The only possible way this movie could be redeemed would be as MST3K fodder.,0,Ang tanging posibleng paraan pelikulang ito ay maaaring ma-redeem magiging tulad MST3K kumpay.
I paid too much.,0,Ko binayaran ng masyadong maraming.
"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.",1,"Gayundin, ito ay isang real tinatrato upang makita ang Anthony Quinn playing Crazy Horse."
It was so BORING!,0,Ito ay kaya BORING!
No plot whatsoever!,0,Walang plot kung ano pa man!
"Again, no plot at all.",0,"Muli, walang plot sa lahat."
Horrible!,0,Kalagim-lagim!
Worst hour and a half of my life!Oh my gosh!,0,Pinakamahina ang oras at kalahati ng aking buhay! Oh my gosh!
I had to walk out of the theatre for a few minutes just to get some relief!,0,Ako had sa lumakad sa labas ng teatro para sa isang ilang minuto lamang upang makakuha ng ilang lunas!
I hate movies like that.,0,Galit ako pelikula tulad na.
"Yeah, the movie pretty much sucked.",0,"Oo, ang pelikula halos sinipsip."
THERE IS NO PLOT OR STORYLINE!!,0,MAY WALANG PLOT OR Storyline !!
"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.",0,"Kung gagawin mo ng manood ang pelikulang ito, magdala ng isang unan o isang girlfriend / boyfriend upang panatilihin kang maraming ginagawa sa pamamagitan ng out."
Awful.,0,Terible.
I don't think I've ever gone to a movie and disliked it as much.,0,Hindi sa tingin ko kailanman ko na nawala sa isang pelikula at disliked ito bilang magkano.
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.,0,Ito ay isang magandang bagay na ang mga tiket lamang limang dolyares dahil Gusto ko maging baliw kung gusto ko nagbayad $ 7.50 upang makita na ito crap.
NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).,0,NOBODY ay iniuugnay sa mga character na ito dahil ang mga ito ay ang lahat ng karton cutouts at stereotypes (o predictably reverse-stereotype).
"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.",0,"Ito ay isang masamang pelikula, na may masamang pagsulat, at mahusay na aktor .... isang pangit cartoon crafted sa pamamagitan ng Paul Haggis para sa mga taong hindi maaaring panghawakan ang anumang bagay ngunit ang mga naka-bold strokes sa storytelling .... isang larawan ipininta na may krayola."
"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.",0,"Crash ay isang mapagpahirap maliit na wala, na provokes damdamin, ngunit itinuturo kayong dapat kung alam mo na kung kapootang panlahi at pinsala ay masama bagay."
"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.",1,"Still, ako tulad ng pelikulang ito para sa mga ito empowerment ng mga kababaihan; walang sapat na mga pelikula out doon tulad ng isang ito."
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.,0,Ang iyong utak ay tangkaing shut-down na bilang bahagi ng isang una simbuyo ng pangangalaga sa sarili.
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.,0,Ako ay naiwang basag na mula sa karanasan ng panonood ito 'film' at kinuha ko ang isang mahusay na dalawang oras upang ganap na mabawi.
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.,0,Ang pelikula na ito ngayon Sinamahan Revenge of the Boogeyman at Zombiez bilang bahagi ng mala-impyerno trinity of horror films.
I certainly do not mean this distinction in a good way.,0,Ako ay tiyak na hindi nangangahulugan na ang pagkakaiba na ito sa isang magandang paraan.
I mean this in a terrible way.,0,ibig sabihin ko ito sa isang kahila-hilakbot na paraan.
This film has no redeeming features.,0,film na ito ay walang redeeming tampok.
Everything is appalling.,0,Lahat ng bagay ay kakila-kilabot.
"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.",0,"Walang kasanayan camera-work endlessly nagtatanghal sa amin na may mga ugliest setting mailalarawan sa isip, ibig sabihin,"
The story is beyond stupid.,0,Ang kuwento ay lampas hunghang.
The script iswas there a script?,0,Ang script ay nagkaroon ba ng script?
The kids are annoying.,0,Ang mga bata ay nakakainis.
The lead man is charisma-free.,0,Ang lead na tao ay charisma-free.
"Utterly without merit on any level, this is akin to torture.",0,"Lubos na walang merito sa anumang antas, ito ay kauri sa labis na pagpapahirap."
I'll even say it again  this is torture.,0,Kukunin ko kahit sabihin mo ulit ito ay labis na pagpapahirap.
Maybe there would be a reasonable explanation for this atrocity.,0,Siguro magkakaroon ng makatwirang paliwanag para kabangisan na ito.
Not a pleasant voyage of self-discovery.,0,Hindi kaaya-ayang paglalakbay ng self-discovery.
Highly unrecommended.,0,Lubos na unrecommended.
"If this premise sound stupid, that's because it is.",0,"Kung ito premise tunog hangal, iyon ay dahil sa ito ay."
"Yes, it's that bad.",0,"Oo, ito ay na masama."
Nothing at all to recommend.,0,Wala sa lahat upang inirerekumenda.
An excellent performance from Ms.,1,Isang mahusay na pagganap mula sa Ms.
"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.",1,"Garbo, na nagpakita ng karapatan off ang bat na ang kanyang mga talento ay maaaring dalhin sa mula sa tahimik na panahon (Nais kong makita ang ilan sa kanyang tahimik na trabaho, ngunit Netflix ay hindi mukhang medyas kanila."
It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.,1,Ito din ay mahusay na upang makita na kilalang silent senaryo Frances Marion Matagal nang hindi nakuha ng isang hakbang ng pagpunta mula sa tahimik na tunog.
"This movie suffered because of the writing, it needed more suspense.",0,"Pelikulang ito nagdusa dahil sa mga sulat, kailangan itong mas suspense."
There were too many close ups.,0,Masyadong maraming mga na malapit ups.
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.,0,Ngunit bukod sa na ang pelikula tila drag at ang bayani ay hindi talagang trabaho para sa kanilang kalayaan.
